P:edad,Capital,General Alvear,Guaymallen,Godoy Cruz,Las Heras,Junin,La Paz,Lavalle,Rivadavia,Lujan de Cuyo,Malargue,Maipu,San Carlos,San Martin,San Rafael,Santa Rosa,Tunuyan,Tupungato,,RESUMEN,
,,,,,,,,,,,,,,,,,,,,,
Edad,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,,Edad,Casos
0,1592,756,5.196,3.084,4.001,633,151,822,1.05,2.149,540,3.113,675,2.332,3246,319,1.073,755,,0,31.487
1,1662,783,4.999,3.142,3.6,647,158,828,1,2.138,558,3.487,612,2.238,3.157,315,1.067,714,,1,31.105
2,1538,746,5.094,3.068,4.153,681,178,764,1.022,2.36,546,3.139,661,2.044,3.284,314,1.045,764,,2,31.401
3,1612,798,4.878,3.16,3.881,577,183,723,970,2.256,580,2.971,587,2.153,3.065,320,1.005,678,,3,30.397
4,1399,762,4.49,2.873,3.74,618,158,793,955,2.28,562,3.162,620,1.817,3.085,277,980,694,,4,29.265
5,1332,729,4.962,3.277,3.887,612,149,751,1.014,2.256,531,3.343,584,2.195,3.068,277,989,689,,5,30.645
6,1066,734,4.968,2.637,3.702,604,169,683,912,2.158,493,2.902,597,1.977,2.824,276,965,672,,6,28.339
7,1385,677,4.472,2.646,3.502,556,126,642,851,2.212,503,3.186,544,1.869,2.917,294,884,595,,7,27.861
8,1.389,727,4.593,2.835,3.353,587,164,666,900,2.015,500,2.714,525,1.832,2.631,283,893,644,,8,27.251
9,1.174,769,4.595,2.708,3.643,621,181,733,898,2.265,467,2.946,488,1.984,3.081,271,849,660,,9,28.333
10,1.302,801,4.696,2.791,3.569,669,199,809,989,2.33,514,3.153,587,2.151,3.361,314,954,693,,10,29.882
11,1.397,789,4.724,2.836,3.675,640,209,824,1.03,2.234,500,3.172,623,2.027,3.106,301,866,646,,11,29.599
12,1.159,771,4.747,2.954,3.609,685,224,805,980,2.21,539,3.179,609,2.048,3.282,339,882,704,,12,29.726
13,1.363,835,4.526,2.879,3.743,646,229,773,994,2.025,524,3.015,583,2.058,3.369,328,822,603,,13,29.315
14,1.384,937,5.121,2.931,4.087,743,257,849,1.053,2.508,586,3.179,644,2.092,3.518,381,968,684,,14,31.922
15,1.596,889,5.056,3.219,3.894,755,228,828,1.131,2.247,564,3.134,694,2.289,3.504,373,969,696,,15,32.066
16,1.444,849,4.824,3.024,3.929,690,242,874,1.121,2.164,531,3.208,621,2.011,3.424,320,1.036,684,,16,30.996
17,1.527,855,4.952,3.044,3.737,712,231,761,1.081,2.081,527,3.27,623,2.23,3.316,328,930,667,,17,30.872
18,1.712,838,5.009,3.305,3.974,757,222,832,1.037,2.278,542,3.387,675,2.395,3.437,342,951,682,,18,32.375
19,1.923,811,5.452,3.125,4.023,704,203,818,1.129,2.302,497,3.211,604,2.153,3.555,327,945,689,,19,32.471
20,2.154,766,4.837,3.461,3.874,644,177,709,924,2.108,494,2.961,622,1.983,3.186,283,820,611,,20,30.614
21,2.258,661,4.834,3.237,3.476,611,166,647,923,2.184,442,3.046,528,1.999,3.327,254,769,607,,21,29.969
22,2.1,627,4.472,3.336,3.489,587,148,664,930,2.214,468,3.069,579,1.776,3.05,303,827,585,,22,29.224
23,2.568,614,5.181,2.997,3.615,605,139,697,910,2.031,481,3.262,603,2.052,2.964,254,863,652,,23,30.488
24,2.282,608,5.07,3.206,3.344,616,135,625,873,1.935,430,2.933,565,1.946,3.002,296,832,587,,24,29.285
25,1.932,615,4.424,2.943,3.262,572,115,570,820,1.924,422,2.702,488,1.796,2.686,231,775,548,,25,26.825
26,2.12,539,4.259,2.999,2.776,489,127,527,766,1.829,391,2.601,529,1.756,2.586,251,730,505,,26,25.78
27,2.004,574,4.373,2.929,2.854,500,157,579,771,1.658,445,2.407,484,1.654,2.661,225,807,506,,27,25.588
28,2.022,703,4.585,3.236,3.23,601,136,611,892,1.883,518,2.567,529,1.913,3.048,239,780,593,,28,28.086
